no chessboard
no chessboard
no chessboard
epipolar error: 1.341620 pixels   dimension: 0.032313 m
epipolar error: 2.427917 pixels   dimension: 0.030319 m
epipolar error: 2.820935 pixels   dimension: 0.030190 m
epipolar error: 2.531228 pixels   dimension: 0.030115 m
epipolar error: 2.583398 pixels   dimension: 0.030131 m
epipolar error: 2.540851 pixels   dimension: 0.030143 m
epipolar error: 2.641920 pixels   dimension: 0.030071 m
epipolar error: 2.906114 pixels   dimension: 0.029971 m
epipolar error: 2.981886 pixels   dimension: 0.029958 m
epipolar error: 3.265567 pixels   dimension: 0.030006 m
epipolar error: 3.278320 pixels   dimension: 0.030119 m
epipolar error: 2.817437 pixels   dimension: 0.030225 m
epipolar error: 2.897757 pixels   dimension: 0.030142 m
epipolar error: 2.919626 pixels   dimension: 0.030117 m
epipolar error: 3.010369 pixels   dimension: 0.030210 m
epipolar error: 2.838938 pixels   dimension: 0.030299 m
epipolar error: 3.068669 pixels   dimension: 0.030255 m
epipolar error: 2.788119 pixels   dimension: 0.030283 m
epipolar error: 2.737494 pixels   dimension: 0.030403 m
epipolar error: 3.041445 pixels   dimension: 0.030427 m
epipolar error: 2.862406 pixels   dimension: 0.030435 m
epipolar error: 2.627793 pixels   dimension: 0.030549 m
epipolar error: 2.544382 pixels   dimension: 0.030600 m
epipolar error: 2.881157 pixels   dimension: 0.030532 m
epipolar error: 2.738669 pixels   dimension: 0.030479 m
epipolar error: 2.599635 pixels   dimension: 0.030534 m
epipolar error: 2.411729 pixels   dimension: 0.030598 m
epipolar error: 2.455523 pixels   dimension: 0.030601 m
epipolar error: 2.499658 pixels   dimension: 0.030596 m
epipolar error: 2.487181 pixels   dimension: 0.030551 m
epipolar error: 2.535264 pixels   dimension: 0.030452 m
epipolar error: 2.796286 pixels   dimension: 0.030333 m
epipolar error: 2.985076 pixels   dimension: 0.030240 m
epipolar error: 3.003813 pixels   dimension: 0.030253 m
epipolar error: 2.809910 pixels   dimension: 0.030301 m
epipolar error: 3.018067 pixels   dimension: 0.030208 m
epipolar error: 3.434158 pixels   dimension: 0.030098 m
epipolar error: 3.314685 pixels   dimension: 0.030103 m
epipolar error: 3.215034 pixels   dimension: 0.030096 m
epipolar error: 2.991426 pixels   dimension: 0.030255 m
epipolar error: 3.206262 pixels   dimension: 0.030267 m
epipolar error: 3.294333 pixels   dimension: 0.030275 m
epipolar error: 3.454819 pixels   dimension: 0.030307 m
epipolar error: 3.363130 pixels   dimension: 0.030355 m
epipolar error: 3.395104 pixels   dimension: 0.030359 m
epipolar error: 3.234606 pixels   dimension: 0.030418 m
epipolar error: 3.284502 pixels   dimension: 0.030443 m
epipolar error: 3.300601 pixels   dimension: 0.030398 m
epipolar error: 3.268066 pixels   dimension: 0.030440 m
epipolar error: 3.217397 pixels   dimension: 0.030434 m
epipolar error: 3.255109 pixels   dimension: 0.030486 m
epipolar error: 3.071217 pixels   dimension: 0.030484 m
epipolar error: 3.085141 pixels   dimension: 0.030463 m
epipolar error: 3.330398 pixels   dimension: 0.030377 m
epipolar error: 3.331614 pixels   dimension: 0.030341 m
epipolar error: 3.171165 pixels   dimension: 0.030380 m
epipolar error: 2.800939 pixels   dimension: 0.030439 m
epipolar error: 2.740367 pixels   dimension: 0.030480 m
epipolar error: 3.675833 pixels   dimension: 0.030357 m
epipolar error: 3.637358 pixels   dimension: 0.030210 m
epipolar error: 2.564944 pixels   dimension: 0.030260 m
epipolar error: 1.992182 pixels   dimension: 0.030285 m
epipolar error: 1.518860 pixels   dimension: 0.030394 m
epipolar error: 1.191676 pixels   dimension: 0.030584 m
epipolar error: 2.041128 pixels   dimension: 0.030661 m
epipolar error: 1.131475 pixels   dimension: 0.030726 m
epipolar error: 2.540710 pixels   dimension: 0.030466 m
epipolar error: 3.833637 pixels   dimension: 0.030051 m

